"","Role_n","n"
"1","Faculty - Professor (including assistant/associate/full professor, clinical professor, teaching professor)",190
"2","Research Staff",66
"3","Administrator",52
"4","Research Software Engineer / Expert",44
"5","Researcher",32
"6","Research Associate",26
"7","Librarian",24
"8","Faculty - Adjunct, emeritus, visiting, or limited-term",20
"9","Student (Doctoral)",20
"10","Research Software Developer",16
"11","Post-Doctoral Fellow",12
"12","Student (Graduate)",8
"13","Other",4
"14","Program Manager",4
"15","Bioinformatics",2
"16","Community Manager",2
"17","Data Steward",2
"18","Director",2
"19","IT",2
"20","Student (Undergrad)",2
"21","Sysadmin",2
"22","User Support Analyst",2
"23","project manager",2
