"","Internal.ID","Ques_num","Answer"
"1",3,"D18","We have published the research articles."
"2",20,"D18","km: https://www.life-science-alliance.org/content/2/4/e201900336
et au moins 3 autres projets en cours de publications."
"3",21,"D18","Our website, www.myLaminin.net, has quite a bit of information and several blog articles that describe what our software does. "
"4",22,"D18","Unsure."
"5",31,"D18","https://dl.acm.org/doi/10.1145/3332186.3332210
"
"6",37,"D18","https://arxiv.org/abs/2109.03120, https://cdnsciencepub.com/doi/full/10.1139/cjp-2019-0611, https://arxiv.org/abs/2111.14530"
"7",67,"D18","https://doi.org/10.1038/s41587-019-0360-3
https://doi.org/10.1186/1755-8794-6-S2-S3
https://doi.org/10.1371/journal.pcbi.1001114
https://doi.org/10.1186/1471-2105-10-S1-S60
https://doi.org/10.1186/gb-2005-6-12-r106
https://doi.org/10.1186/1471-2105-6-34
https://doi.org/10.1186/1471-2105-5-40
https://doi.org/10.1093/bioinformatics/btg139
https://doi.org/10.1093/bioinformatics/18.8.1034

"
"8",81,"D18","There too many, list here - https://directory.library.ubc.ca/people/view/622"
"9",84,"D18","10.1162/qss_a_00228
"
"10",91,"D18","It is currently under 2nd review in Environmental Modelling and Software and should be published in the next few months."
"11",105,"D18","https://doi.org/10.1016/j.mri.2012.05.001
https://doi.org/10.1109/TBME.2014.2322864
https://doi.org/10.1002/rcs.274
https://doi.org/10.1118/1.4754659
https://doi.org/10.1109/TBME.2012.2219307"
"12",107,"D18","you are kidding - there are ~40-50 papers we've published that describe software tools."
"13",110,"D18","https://link.springer.com/content/pdf/10.1007/s41781-020-0036-1.pdf
http://heprc.phys.uvic.ca/#publications
"
"14",111,"D18","10.3138/cart-2021-0006 "
"15",112,"D18","je ne sais pas"
"16",121,"D18","https://doi.org/10.1063/1.5144261
https://doi.org/10.1016/j.cpc.2019.107042"
"17",126,"D18","10.1093/gigascience/giz037"
