"","Internal.ID","Answer","Question"
"1",3,"Version control. Proper documentation.","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"2",11,"low","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"3",21,"Advanced in the sense that we are maintaining our software for commercial delivery in a SaaS paradigm.","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"4",59,"um, pretty high? I have a computer science degree and have been the person packaging and archiving","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"5",91,"Medium, delegated to others on team","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"6",111,"La base, mais je comprends l'importance","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"7",113,"assurance que le logiciel est conçu pour une utilisation a long terme","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"8",126,"Versioning, code reviewing, documentation, availability in recommended repositories","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"9",139,"Documentation technique!","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"10",143,"rien","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"11",152,"Putting source on github. Supporting mirrors at other institutions","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"12",161,"Our projects are used by thousands of people to develop cutting edge medical research, we have to keep old versions accessible as some people have to lock in a version due to a specific regulation","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"13",165,"Rien","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"14",189,"moderate","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"15",203,"Limited knowledge (of version control)","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"16",206,"none","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"17",231,"I'm not sure I understand the question. I have a pretty good knowledge. My software has dependancies so I am aware it might not be avaiable for long-term use if I stop maintenance..","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"18",235,"low","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"19",248,"Il existe des bibliotheques de version","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"20",272,"Sorry, what does ""Give your knowledge"" mean?  Yes?","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"21",274,"The Wilson-Devinney program has been developed and maintained over 5 decades and continues to be supported ...","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"22",277,"minimal","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"23",288,"github, research data respositories (for long-term preservation of code)","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"24",297,"25+ years of supporting the same software","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"25",310,"https://github.com/","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"26",324,"good","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"27",327,"High","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"28",330,"low","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"29",341,"We mainly use Git for our software, and try to publish most of it on public repositories","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"30",363,"High ","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"31",406,"Paying attention to working groups for software publication so that we can follow these practices in coming years","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
"32",418,"X","Software curation/preservation (making sure the software has been packaged for long-term use/access)"
